CO_ESCOLA,CO_MUNICIPIO,NO_MUNICIPIO,TP_DEPENDENCIA,REDE_ENSINO,MATRICULAS_EM
43011802,4300406,Alegrete,3,Municipal,3
43011853,4300406,Alegrete,3,Municipal,11
43011896,4300406,Alegrete,3,Municipal,5
43011900,4300406,Alegrete,3,Municipal,12
43011926,4300406,Alegrete,3,Municipal,31
43012116,4300406,Alegrete,3,Municipal,21
43012175,4300406,Alegrete,3,Municipal,14
43012434,4300406,Alegrete,3,Municipal,14
43022375,4302105,Bento Gonçalves,3,Municipal,105
43025714,4302501,Bossoroca,3,Municipal,28
43079210,4311007,Jaguarão,3,Municipal,44
43077498,4311718,Maçambará,3,Municipal,32
43100104,4314407,Pelotas,3,Municipal,464
43126758,4317301,Santa Vitória do Palmar,3,Municipal,109
43135366,4318309,São Gabriel,3,Municipal,109
43152740,4321204,Taquara,3,Municipal,199
43159770,4322004,Triunfo,3,Municipal,186
43160140,4322004,Triunfo,3,Municipal,100
43160263,4322004,Triunfo,3,Municipal,285
