CO_MUNICIPIO,NO_MUNICIPIO,ESCOLAS_ESTADUAL,ESCOLAS_FEDERAL,ESCOLAS_MUNICIPAL,MATRICULAS_ESTADUAL,MATRICULAS_FEDERAL,MATRICULAS_MUNICIPAL,REDES_PRESENTES,TOTAL_ESCOLAS_EM,OFERTA_EXCLUSIVAMENTE_MUNICIPAL,POSSUI_REDE_MUNICIPAL
4300034,Aceguá,1,0,0,138,0,0,Estadual,1,False,False
4300109,Agudo,2,0,0,391,0,0,Estadual,2,False,False
4300208,Ajuricaba,1,0,0,133,0,0,Estadual,1,False,False
4300307,Alecrim,1,0,0,122,0,0,Estadual,1,False,False
4300406,Alegrete,8,0,8,1615,0,111,Estadual + Municipal,16,False,True
4300455,Alegria,1,0,0,85,0,0,Estadual,1,False,False
4300471,Almirante Tamandaré do Sul,1,0,0,48,0,0,Estadual,1,False,False
4300505,Alpestre,1,0,0,163,0,0,Estadual,1,False,False
4300554,Alto Alegre,1,0,0,35,0,0,Estadual,1,False,False
4300570,Alto Feliz,1,0,0,45,0,0,Estadual,1,False,False
4300604,Alvorada,12,0,0,5654,0,0,Estadual,12,False,False
4300638,Amaral Ferrador,1,0,0,189,0,0,Estadual,1,False,False
4300646,Ametista do Sul,1,0,0,245,0,0,Estadual,1,False,False
4300661,André da Rocha,1,0,0,23,0,0,Estadual,1,False,False
4300703,Anta Gorda,1,0,0,95,0,0,Estadual,1,False,False
4300802,Antônio Prado,3,0,0,316,0,0,Estadual,3,False,False
4300851,Arambaré,2,0,0,140,0,0,Estadual,2,False,False
4300877,Araricá,1,0,0,224,0,0,Estadual,1,False,False
4300901,Aratiba,1,0,0,138,0,0,Estadual,1,False,False
4301305,Arroio Grande,1,0,0,404,0,0,Estadual,1,False,False
4301008,Arroio do Meio,1,0,0,454,0,0,Estadual,1,False,False
4301073,Arroio do Padre,1,0,0,179,0,0,Estadual,1,False,False
4301057,Arroio do Sal,1,0,0,362,0,0,Estadual,1,False,False
4301206,Arroio do Tigre,1,0,0,310,0,0,Estadual,1,False,False
4301107,Arroio dos Ratos,1,0,0,388,0,0,Estadual,1,False,False
4301404,Arvorezinha,1,0,0,121,0,0,Estadual,1,False,False
4301503,Augusto Pestana,1,0,0,128,0,0,Estadual,1,False,False
4301602,Bagé,10,0,0,2849,0,0,Estadual,10,False,False
4301636,Balneário Pinhal,1,0,0,431,0,0,Estadual,1,False,False
4301958,Barra Funda,1,0,0,53,0,0,Estadual,1,False,False
4301859,Barra do Guarita,1,0,0,82,0,0,Estadual,1,False,False
4301875,Barra do Quaraí,1,0,0,154,0,0,Estadual,1,False,False
4301909,Barra do Ribeiro,2,0,0,295,0,0,Estadual,2,False,False
4301925,Barra do Rio Azul,1,0,0,41,0,0,Estadual,1,False,False
4301800,Barracão,1,0,0,118,0,0,Estadual,1,False,False
4302006,Barros Cassal,1,0,0,222,0,0,Estadual,1,False,False
4301651,Barão,1,0,0,133,0,0,Estadual,1,False,False
4301701,Barão de Cotegipe,1,0,0,139,0,0,Estadual,1,False,False
4301750,Barão do Triunfo,1,0,0,164,0,0,Estadual,1,False,False
4302055,Benjamin Constant do Sul,2,0,0,75,0,0,Estadual,2,False,False
4302105,Bento Gonçalves,6,0,1,2047,0,105,Estadual + Municipal,7,False,True
4302154,Boa Vista das Missões,1,0,0,53,0,0,Estadual,1,False,False
4302204,Boa Vista do Buricá,1,0,0,131,0,0,Estadual,1,False,False
4302220,Boa Vista do Cadeado,1,0,0,40,0,0,Estadual,1,False,False
4302238,Boa Vista do Incra,1,0,0,49,0,0,Estadual,1,False,False
4302253,Boa Vista do Sul,1,0,0,52,0,0,Estadual,1,False,False
4302303,Bom Jesus,1,0,0,255,0,0,Estadual,1,False,False
4302352,Bom Princípio,1,0,0,255,0,0,Estadual,1,False,False
4302378,Bom Progresso,1,0,0,46,0,0,Estadual,1,False,False
4302402,Bom Retiro do Sul,1,0,0,276,0,0,Estadual,1,False,False
4302451,Boqueirão do Leão,1,0,0,237,0,0,Estadual,1,False,False
4302501,Bossoroca,1,0,1,133,0,28,Estadual + Municipal,2,False,True
4302584,Bozano,1,0,0,46,0,0,Estadual,1,False,False
4302600,Braga,1,0,0,83,0,0,Estadual,1,False,False
4302659,Brochier,1,0,0,94,0,0,Estadual,1,False,False
4302709,Butiá,2,0,0,581,0,0,Estadual,2,False,False
4302907,Cacequi,2,0,0,305,0,0,Estadual,2,False,False
4303004,Cachoeira do Sul,9,0,0,1681,0,0,Estadual,9,False,False
4303103,Cachoeirinha,12,0,0,3641,0,0,Estadual,12,False,False
4303202,Cacique Doble,1,0,0,151,0,0,Estadual,1,False,False
4303301,Caibaté,1,0,0,117,0,0,Estadual,1,False,False
4303400,Caiçara,1,0,0,104,0,0,Estadual,1,False,False
4303509,Camaquã,6,0,0,1421,0,0,Estadual,6,False,False
4303558,Camargo,1,0,0,76,0,0,Estadual,1,False,False
4303608,Cambará do Sul,1,0,0,167,0,0,Estadual,1,False,False
4303673,Campestre da Serra,1,0,0,78,0,0,Estadual,1,False,False
4303707,Campina das Missões,1,0,0,123,0,0,Estadual,1,False,False
4303806,Campinas do Sul,1,0,0,68,0,0,Estadual,1,False,False
4303905,Campo Bom,4,0,0,1731,0,0,Estadual,4,False,False
4304002,Campo Novo,1,0,0,105,0,0,Estadual,1,False,False
4304101,Campos Borges,1,0,0,89,0,0,Estadual,1,False,False
4304200,Candelária,3,0,0,508,0,0,Estadual,3,False,False
4304358,Candiota,3,0,0,326,0,0,Estadual,3,False,False
4304408,Canela,4,0,0,1068,0,0,Estadual,4,False,False
4304507,Canguçu,7,0,0,1150,0,0,Estadual,7,False,False
4304606,Canoas,18,0,0,8652,0,0,Estadual,18,False,False
4304614,Canudos do Vale,1,0,0,39,0,0,Estadual,1,False,False
4304689,Capela de Santana,1,0,0,225,0,0,Estadual,1,False,False
4304697,Capitão,1,0,0,85,0,0,Estadual,1,False,False
4304671,Capivari do Sul,1,0,0,162,0,0,Estadual,1,False,False
4304622,Capão Bonito do Sul,1,0,0,33,0,0,Estadual,1,False,False
4304630,Capão da Canoa,3,0,0,1601,0,0,Estadual,3,False,False
4304655,Capão do Cipó,1,0,0,86,0,0,Estadual,1,False,False
4304663,Capão do Leão,2,0,0,613,0,0,Estadual,2,False,False
4304705,Carazinho,7,0,0,1332,0,0,Estadual,7,False,False
4304713,Caraá,1,0,0,191,0,0,Estadual,1,False,False
4304804,Carlos Barbosa,2,0,0,742,0,0,Estadual,2,False,False
4304853,Carlos Gomes,1,0,0,33,0,0,Estadual,1,False,False
4304903,Casca,1,0,0,229,0,0,Estadual,1,False,False
4304952,Caseiros,1,0,0,104,0,0,Estadual,1,False,False
4305009,Catuípe,1,0,0,166,0,0,Estadual,1,False,False
4305108,Caxias do Sul,31,0,0,10898,0,0,Estadual,31,False,False
4302808,Caçapava do Sul,5,0,0,849,0,0,Estadual,5,False,False
4305116,Centenário,1,0,0,65,0,0,Estadual,1,False,False
4305124,Cerrito,2,0,0,141,0,0,Estadual,2,False,False
4305132,Cerro Branco,1,0,0,86,0,0,Estadual,1,False,False
4305157,Cerro Grande,1,0,0,28,0,0,Estadual,1,False,False
4305173,Cerro Grande do Sul,1,0,0,305,0,0,Estadual,1,False,False
4305207,Cerro Largo,1,0,0,228,0,0,Estadual,1,False,False
4305306,Chapada,1,0,0,204,0,0,Estadual,1,False,False
4305355,Charqueadas,2,0,0,702,0,0,Estadual,2,False,False
4305371,Charrua,2,0,0,62,0,0,Estadual,2,False,False
4305405,Chiapetta,1,0,0,90,0,0,Estadual,1,False,False
4305447,Chuvisca,1,0,0,164,0,0,Estadual,1,False,False
4305439,Chuí,1,0,0,133,0,0,Estadual,1,False,False
4305454,Cidreira,1,0,0,307,0,0,Estadual,1,False,False
4305504,Ciríaco,1,0,0,94,0,0,Estadual,1,False,False
4305587,Colinas,1,0,0,57,0,0,Estadual,1,False,False
4305603,Colorado,1,0,0,51,0,0,Estadual,1,False,False
4305702,Condor,1,0,0,111,0,0,Estadual,1,False,False
4305801,Constantina,1,0,0,247,0,0,Estadual,1,False,False
4305835,Coqueiro Baixo,1,0,0,28,0,0,Estadual,1,False,False
4305850,Coqueiros do Sul,1,0,0,65,0,0,Estadual,1,False,False
4305871,Coronel Barros,1,0,0,38,0,0,Estadual,1,False,False
4305900,Coronel Bicaco,1,0,0,138,0,0,Estadual,1,False,False
4305934,Coronel Pilar,1,0,0,35,0,0,Estadual,1,False,False
4305959,Cotiporã,1,0,0,56,0,0,Estadual,1,False,False
4305975,Coxilha,1,0,0,43,0,0,Estadual,1,False,False
4306007,Crissiumal,2,0,0,299,0,0,Estadual,2,False,False
4306056,Cristal,1,0,0,197,0,0,Estadual,1,False,False
4306072,Cristal do Sul,1,0,0,84,0,0,Estadual,1,False,False
4306106,Cruz Alta,7,0,0,1384,0,0,Estadual,7,False,False
4306130,Cruzaltense,1,0,0,36,0,0,Estadual,1,False,False
4306205,Cruzeiro do Sul,2,0,0,261,0,0,Estadual,2,False,False
4304309,Cândido Godói,1,0,0,132,0,0,Estadual,1,False,False
4306304,David Canabarro,1,0,0,126,0,0,Estadual,1,False,False
4306320,Derrubadas,1,0,0,92,0,0,Estadual,1,False,False
4306353,Dezesseis de Novembro,1,0,0,43,0,0,Estadual,1,False,False
4306379,Dilermando de Aguiar,1,0,0,76,0,0,Estadual,1,False,False
4306403,Dois Irmãos,2,0,0,772,0,0,Estadual,2,False,False
4306429,Dois Irmãos das Missões,1,0,0,126,0,0,Estadual,1,False,False
4306452,Dois Lajeados,1,0,0,70,0,0,Estadual,1,False,False
4306502,Dom Feliciano,1,0,0,333,0,0,Estadual,1,False,False
4306601,Dom Pedrito,4,0,0,564,0,0,Estadual,4,False,False
4306551,Dom Pedro de Alcântara,1,0,0,72,0,0,Estadual,1,False,False
4306700,Dona Francisca,1,0,0,76,0,0,Estadual,1,False,False
4306734,Doutor Maurício Cardoso,1,0,0,75,0,0,Estadual,1,False,False
4306759,Doutor Ricardo,1,0,0,46,0,0,Estadual,1,False,False
4306767,Eldorado do Sul,3,0,0,1016,0,0,Estadual,3,False,False
4306809,Encantado,1,0,0,518,0,0,Estadual,1,False,False
4306908,Encruzilhada do Sul,2,0,0,470,0,0,Estadual,2,False,False
4306924,Engenho Velho,1,0,0,47,0,0,Estadual,1,False,False
4306957,Entre Rios do Sul,1,0,0,76,0,0,Estadual,1,False,False
